"PathogenID","PathogenName","PathogenGroupID"
1,"Bacillus anthracis",1
2,"Burkholderia pseudomallei",1
3,"Campylobacter jejuni",1
4,"Coxiella burnetii",1
5,"Escherichia coli enterohemorrhagic (EHEC)",1
6,"Escherichia coli",1
7,"Francisella tularensis",1
8,"Legionella pneumophila",1
9,"Listeria monocytogenes (Death as response)",1
10,"Listeria monocytogenes (Infection)",1
11,"Listeria monocytogenes (Stillbirths)",1
12,"Mycobacterium avium",1
13,"Pseudomonas aeruginosa (Contact lens)",1
14,"Pseudomonas aeruginosa (bacterimia)",1
15,"Rickettsia rickettsi",1
16,"Salmonella Typhi",1
17,"Salmonella anatum",1
18,"Salmonella meleagridis",1
19,"Salmonella nontyphoid",1
20,"Salmonella serotype newport",1
21,"Shigella",1
22,"Staphylococcus aureus",1
23,"Vibrio cholerae",1
24,"Yersinia pestis",1
25,"Adenovirus",2
26,"Echovirus",2
27,"Enteroviruses",2
28,"Influenza",2
29,"Lassa virus",2
30,"Poliovirus",2
31,"Rhinovirus",2
32,"Rotavirus",2
33,"SARS",2
34,"Cryptosporidium parvum",3
35,"Endamoeba coli",3
36,"Giardia duodenalis",3
37,"Naegleria fowleri",3
