"TreatmentGroup","TreatmentName","PathogenGroup","Min","Max","ReferenceName","ReferenceLink"
"Coagulation, flocculation and sedimentation","Conventional clarification","Bacteria",0.2,2,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
"Coagulation, flocculation and sedimentation","Conventional clarification","Protozoa",1,2,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
"Coagulation, flocculation and sedimentation","Conventional clarification","Viruses",0.1,3.4,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
"Coagulation, flocculation and sedimentation","Dissolved air flotation","Protozoa",0.6,2.6,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
"Coagulation, flocculation and sedimentation","High-rate clarification","Protozoa",2,2.8,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
"Coagulation, flocculation and sedimentation","Lime softening","Bacteria",1,4,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
"Coagulation, flocculation and sedimentation","Lime softening","Protozoa",0,2,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
"Coagulation, flocculation and sedimentation","Lime softening","Viruses",2,4,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
"Filtration","Granular high-rate filtration","Bacteria",0.2,4.4,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
"Filtration","Granular high-rate filtration","Protozoa",0.4,3.3,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
"Filtration","Granular high-rate filtration","Viruses",0,3.5,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
"Filtration","Membrane filtration (micro, ultra-, nanofiltration, reverse osmosis)","Bacteria",1,7,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
"Filtration","Membrane filtration (micro, ultra-, nanofiltration, reverse osmosis)","Protozoa",2.3,7,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
"Filtration","Membrane filtration (micro, ultra-, nanofiltration, reverse osmosis)","Viruses",1,6.5,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
"Filtration","Precoat filtration","Bacteria",0.2,2.3,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
"Filtration","Precoat filtration","Protozoa",3,6.7,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
"Filtration","Precoat filtration","Viruses",1,1.7,"WHO (2011): Drinking water guideline, Table 7.7","http://apps.who.int/iris/bitstream/10665/44584/1/9789241548151_eng.pdf#page=162"
